secao,proporcao_ideal,papel,arquivo,pasta,tipo,origem,crop_desktop,crop_mobile
HOME / EDITORIAL 50-50 · 'Vertente',1:1 desktop (1600×1600) · 4:5 mobile,alternativa,closeup-earring-02-oval-hoop-neck-chain-warm_plus-preview.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/7up01bDHPNw,Sim — de 3:2 para 1:1.,Sim — 4:5.
HOME / EDITORIAL 50-50 · 'Vertente',1:1 desktop (1600×1600) · 4:5 mobile,alternativa,closeup-ring-01-oval-signet-face-freckles_plus-preview.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/oUh8bkz0bCs,Sim — de 3:2 para 1:1.,Sim — 4:5.
HOME / EDITORIAL 50-50 · 'Use do seu jeito',1:1 desktop · 4:5 mobile,recomendado,closeup-bracelet-03-cuff-ring-white-shirt_plus-preview.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/h77Y-0TrZEc,Sim — 1:1 centrado no pulso.,Sim — 4:5.
HOME / EDITORIAL 50-50 · 'Use do seu jeito',1:1 desktop · 4:5 mobile,alternativa,closeup-necklace-03-fine-chain-white-shirt.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/HJHWDLUIV5w,Sim — 1:1 centrado no pulso.,Sim — 4:5.
HOME / EDITORIAL 50-50 · 'Use do seu jeito',1:1 desktop · 4:5 mobile,alternativa,closeup-necklace-01-back-drop-chain_plus-preview.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/GCZvXOW-oIM,Sim — 1:1 centrado no pulso.,Sim — 4:5.
HOME / EDITORIAL 50-50 · 'Use do seu jeito',1:1 desktop · 4:5 mobile,alternativa,editorial-02-textured-gold-hoop-warm-window-light.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/k4C71tqkOZ4,Sim — 1:1 centrado no pulso.,Sim — 4:5.
HOME / 'Noturno',1:1 desktop · 4:5 mobile,recomendado,noturno-01-diamond-necklace-velvet-teal_plus-preview.jpg,04-NOTURNO-SOB-ENCOMENDA,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/bpzewLQ-LNc,Sim — 1:1 no colo.,Sim — 4:5.
HOME / 'Noturno',1:1 desktop · 4:5 mobile,alternativa,noturno-03-sapphire-halo-ring-hand-blue.jpg,04-NOTURNO-SOB-ENCOMENDA,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/4yJ2C66gPdc,Sim — 1:1 no colo.,Sim — 4:5.
HOME / 'Noturno',1:1 desktop · 4:5 mobile,alternativa,closeup-necklace-04-layered-chains-low-light.jpg,04-NOTURNO-SOB-ENCOMENDA,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/MathVC0jaJw,Sim — 1:1 no colo.,Sim — 4:5.
HOME / 'Noturno',1:1 desktop · 4:5 mobile,alternativa,closeup-bracelet-02-fine-bracelets-black-drape.jpg,04-NOTURNO-SOB-ENCOMENDA,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/bxC7ywxrhcc,Sim — 1:1 no colo.,Sim — 4:5.
HOME / 'Sob encomenda',1:1 desktop · 4:5 mobile,recomendado,ring-packshot-02-pear-halo-white-gold-black.jpg,04-NOTURNO-SOB-ENCOMENDA,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/9_35SjwzpnU,Não (1:1 nativo).,Sim — 4:5 com respiro acima.
HOME / 'Sob encomenda',1:1 desktop · 4:5 mobile,alternativa,atelier-hands-01-diamond-bracelet-bench-peg.jpg,07-BOUTIQUE-ATELIER,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/XQ2uxrIZn94,Não (1:1 nativo).,Sim — 4:5 com respiro acima.
HOME / 'Sob encomenda',1:1 desktop · 4:5 mobile,alternativa,closeup-ring-02-diamond-cluster-hand-lips.jpg,04-NOTURNO-SOB-ENCOMENDA,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/baZJ_wJ4W-k,Não (1:1 nativo).,Sim — 4:5 com respiro acima.
HOME / MAIS DESEJADAS (rail),1:1 (1000×1000),recomendado,closeup-bracelet-01-paperclip-chain-wrist.jpg,05-MAIS-DESEJADAS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/mF6CWKalodk,Sim — quadrado.,Não.
HOME / MAIS DESEJADAS (rail),1:1 (1000×1000),alternativa,closeup-ring-04-sapphire-ring-folded-hands.jpg,05-MAIS-DESEJADAS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/ZUUmmpbwKjM,Sim — quadrado.,Não.
HOME / MAIS DESEJADAS (rail),1:1 (1000×1000),alternativa,closeup-necklace-05-herringbone-warm-sunlight.jpg,05-MAIS-DESEJADAS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/-sphpPwAFAE,Sim — quadrado.,Não.
HOME / MAIS DESEJADAS (rail),1:1 (1000×1000),alternativa,closeup-earring-04-small-hoop-ear-freckles_plus-preview.jpg,05-MAIS-DESEJADAS,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/ZB1574-bsRo,Sim — quadrado.,Não.
HOME / MAIS DESEJADAS (rail),1:1 (1000×1000),alternativa,closeup-ring-05-silver-ring-shoulder-hoop-brown_plus-preview.jpg,05-MAIS-DESEJADAS,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/McxvNwA2qiA,Sim — quadrado.,Não.
HOME / BRINCOS,1:1 desktop · 4:5 mobile,recomendado,closeup-earring-07-hoop-oval-ring-dark-warm_plus-preview.jpg,06-BRINCOS,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/Mbe6spinnGg,Sim — 1:1 na orelha.,Sim — 4:5.
HOME / BRINCOS,1:1 desktop · 4:5 mobile,alternativa,closeup-earring-01-sculptural-gold-hoop-profile_plus-preview.jpg,06-BRINCOS,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/oa3rx61aOSc,Sim — 1:1 na orelha.,Sim — 4:5.
HOME / BRINCOS,1:1 desktop · 4:5 mobile,alternativa,closeup-earring-05-diamond-stud-deep-skin.jpg,06-BRINCOS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/SJuYKMejM14,Sim — 1:1 na orelha.,Sim — 4:5.
HOME / BRINCOS,1:1 desktop · 4:5 mobile,alternativa,editorial-03-gold-drop-earrings-white-blouse_plus-preview.jpg,06-BRINCOS,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/YV9pBoUHAps,Sim — 1:1 na orelha.,Sim — 4:5.
HOME / ATENDIMENTO HERTMANN (boutique),1:1 desktop · 4:5 mobile,recomendado,boutique-interior-01-marble-counter-client-service_plus-preview.jpg,07-BOUTIQUE-ATELIER,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/p_QggRZA2Co,Sim — 1:1 no balcão.,Sim — 4:5.
HOME / ATENDIMENTO HERTMANN (boutique),1:1 desktop · 4:5 mobile,alternativa,boutique-interior-02-private-salon-marble-table.jpg,07-BOUTIQUE-ATELIER,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/cI_e7GUK4ck,Sim — 1:1 no balcão.,Sim — 4:5.
HOME / ATENDIMENTO HERTMANN (boutique),1:1 desktop · 4:5 mobile,alternativa,atelier-hands-01-diamond-bracelet-bench-peg.jpg,07-BOUTIQUE-ATELIER,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/XQ2uxrIZn94,Sim — 1:1 no balcão.,Sim — 4:5.
HOME / ATENDIMENTO HERTMANN (boutique),1:1 desktop · 4:5 mobile,alternativa,boutique-exterior-01-jewelry-vitrine-night.jpg,07-BOUTIQUE-ATELIER,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/G2dw-LtxPFc,Sim — 1:1 no balcão.,Sim — 4:5.
HOME / HERITAGE ('Joias executadas à mão em Curitiba desde 1948'),4:5 (lado do texto) ou 21:9 (faixa),recomendado,heritage-01-senior-artisan-hands-anvil.jpg,08-HERITAGE,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/O9BznaWPO2M,Depende do layout escolhido.,Sim — 4:5.
HOME / HERITAGE ('Joias executadas à mão em Curitiba desde 1948'),4:5 (lado do texto) ou 21:9 (faixa),alternativa,atelier-02-torch-soldering-warm-dark.jpg,08-HERITAGE,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/ssJoxTDiUPg,Depende do layout escolhido.,Sim — 4:5.
HOME / HERITAGE ('Joias executadas à mão em Curitiba desde 1948'),4:5 (lado do texto) ou 21:9 (faixa),alternativa,atelier-03-overhead-jeweler-bench_plus-preview.jpg,08-HERITAGE,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/OfXNjcKosRM,Depende do layout escolhido.,Sim — 4:5.
HOME / HERITAGE ('Joias executadas à mão em Curitiba desde 1948'),4:5 (lado do texto) ou 21:9 (faixa),alternativa,heritage-02-elder-hand-sapphire-ring-book.jpg,08-HERITAGE,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/qke519O2JHI,Depende do layout escolhido.,Sim — 4:5.
FOOTER,—,—,,,,,—,—
PLP / HERO DE CATEGORIA (split 2×),Cada metade 4:3 · Grade 1:1 · Mobile: uma imagem 3:4,recomendado,closeup-earring-08-sculptural-gold-earring-white_plus-preview.jpg,10-PLP-CATEGORIES,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/lJ8HBTfLbGc,Sim — 4:3.,Sim — 3:4.
PLP / HERO DE CATEGORIA (split 2×),Cada metade 4:3 · Grade 1:1 · Mobile: uma imagem 3:4,alternativa,closeup-bracelet-04-chain-bracelet-rings-white-satin_plus-preview.jpg,10-PLP-CATEGORIES,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/FPZdfn0hUjE,Sim — 4:3.,Sim — 3:4.
PLP / HERO DE CATEGORIA (split 2×),Cada metade 4:3 · Grade 1:1 · Mobile: uma imagem 3:4,alternativa,closeup-earring-06-ear-cuff-silver-grey.jpg,10-PLP-CATEGORIES,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/AVJ321HJFl4,Sim — 4:3.,Sim — 3:4.
PACKSHOTS (produto isolado),"1:1 (2000×2000), fundo off-white uniforme",recomendado,ring-packshot-01-oval-halo-soft-grey-reflection.jpg,09-PACKSHOTS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/B-JtfqdHemU,—,—
PACKSHOTS (produto isolado),"1:1 (2000×2000), fundo off-white uniforme",alternativa,earring-packshot-01-diamond-drops-navy-black-paper.jpg,09-PACKSHOTS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/E_BCYClskl4,—,—
PACKSHOTS (produto isolado),"1:1 (2000×2000), fundo off-white uniforme",alternativa,ring-packshot-03-rings-long-shadow-white.jpg,09-PACKSHOTS,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/ECZeV9L7Pc4,—,—
PACKSHOTS (produto isolado),"1:1 (2000×2000), fundo off-white uniforme",alternativa,styled-packshot-01-snake-chains-hoops-paper_plus-preview.jpg,09-PACKSHOTS,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/UR-ZbSry8tQ,—,—
REFERÊNCIA · 01-HERO,,referencia,ref-sk-hero-desktop-16x9-wren-campaign.jpg,REFERENCES,REFERENCE (não usar),https://cdn.sanity.io/images/i21fjdbi/production/1b3c27d6a81639b0860dee54e4f7d3b83cdce878-6209x3493.jpg,,
REFERÊNCIA · 01-HERO,,referencia,ref-sk-hero-mobile-4x5-wren-campaign.jpg,REFERENCES,REFERENCE (não usar),https://cdn.sanity.io/images/i21fjdbi/production/4e273dc997caaa224f1534ab5a6dfdae1a2ab467-2393x2991.jpg,,
REFERÊNCIA · 03-EDITORIAL-50-50,,referencia,ref-sk-editorial-square-hand-chain-ring.jpg,REFERENCES,REFERENCE (não usar),https://cdn.sanity.io/images/i21fjdbi/production/de22dc2588cd35084d3f40ce7a1883d1a5bbde7f-4906x4906.jpg,,
REFERÊNCIA · 10-PLP-CATEGORIES,,referencia,ref-sk-plp-earrings-hero-desktop-2x1.jpg,REFERENCES,REFERENCE (não usar),https://cdn.sanity.io/images/i21fjdbi/production/645f028f99d56daeb81931683c6a8632c7e64207-2717x1359.jpg,,
REFERÊNCIA · 10-PLP-CATEGORIES,,referencia,ref-sk-plp-earrings-hero-mobile-3x4.jpg,REFERENCES,REFERENCE (não usar),https://cdn.sanity.io/images/i21fjdbi/production/d4ba0972b1217049e0d7121fb0a487f14de126c6-1238x1650.jpg,,
REFERÊNCIA · 09-PACKSHOTS,,referencia,ref-sk-packshot-necklace-yg-beige-soft-shadow.jpg,REFERENCES,REFERENCE (não usar),https://cdn.shopify.com/s/files/1/1105/2238/files/Wren0_0081_Valen_Max_Marquise_YG__Beige__6k.jpg,,
REFERÊNCIA · 09-PACKSHOTS,,referencia,ref-sk-packshot-ring-silver-beige.jpg,REFERENCES,REFERENCE (não usar),https://cdn.shopify.com/s/files/1/1105/2238/files/0132_Jovie_Silver__Beige__4k.jpg,,
REFERÊNCIA · 09-PACKSHOTS,,referencia,ref-sk-packshot-ring-pia-silver-beige.jpg,REFERENCES,REFERENCE (não usar),https://cdn.shopify.com/s/files/1/1105/2238/files/0120_Pia_Marquise_Silver__Beige__4k.jpg,,
REFERÊNCIA · 07-BOUTIQUE-ATELIER,,referencia,ref-boutique-vitrine-warm-niche-necklace-bust.jpg,REFERENCES,REFERENCE (não usar),https://images.unsplash.com/photo-1774110101478-bb066db7ccf0,,
